MPM,MUSIC,F1 Values,F2 Values,Energy Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13
8897.17718879251,0.0899999999999999,,,0.00035741564,2146.2651,23.4375,49.42857142857142,32,0.00035741564,153,-129.87862,200.14685,-14.048319,10.433103,14.190814,-12.851378,12.43735,3.251454,-14.223267,-3.3462284,-7.3506165,-8.404276,-3.1015813
10757.169650833695,-0.3299999999999999,617.1681843318771,1985.7063338531584,0.023866605,9200.015,375.0,37.99999999999999,40,0.023866605,4,-134.4611,214.8778,-5.3891053,-7.369525,6.0522795,-17.778856,4.061851,9.756059,-5.144216,-5.12984,-12.017219,-6.4439387,5.9734144
9085.280467939496,-0.28,152.07569147508644,1784.272442755808,0.13023663,14604.852,375.0,46.85714285714285,40,0.13023663,7,-128.81874,206.02448,-2.7911658,1.9995444,15.088604,-7.1338215,12.165961,7.419346,-10.60761,-5.444176,-11.514073,-8.45488,3.0864732
10716.016952064205,-0.06,378.34965337065097,922.4149883362572,0.20334974,17952.549,398.4375,35.71428571428571,70,0.20334974,7,-129.90315,222.55707,-3.4817798,-4.8783226,6.7529926,-14.307977,9.617755,8.922745,-8.748421,-4.824854,-9.427157,-5.5202746,2.8021557
9524.78507913476,0.19,293.1571680315045,1493.9490831862377,0.25267062,15616.394,375.0,46.28571428571428,47,0.25267062,13,-132.148544,213.000305,-20.3394527,5.3390398,31.5428047,-3.36669016,6.85006142,0.410417259,-12.9784679,-0.22378625,-8.14589691,-9.73242092,0.121967316
10868.891587580112,0.05,391.64302710957423,1245.8799531200552,0.24075279,13744.824,234.375,37.99999999999999,83,0.24075279,12,-99.428772,202.784592,-0.110739246,-6.13464689,6.43376732,-15.3737726,3.38306284,7.7393117,-8.93277645,-9.98657131,-12.901288,-6.0102191,2.75119185
8829.973506902003,0.0899999999999999,308.9029223198782,1238.490414934813,0.23522434,15219.0625,398.4375,54.57142857142856,31,0.23522434,5,-134.3494,207.41072,-0.5866579,-1.2931318,11.624259,-10.8577385,7.4429107,6.453173,-9.397954,-2.5849578,-6.5911975,-7.6978884,-2.1377895
10935.816679271244,-0.02,309.0479722393929,1701.624606128798,0.23399064,12094.211,234.375,32.57142857142857,31,0.23399064,4,-131.79265,220.21446,-13.801666,-4.0634933,12.140038,-14.105715,9.514116,6.605817,-13.817452,-6.2237477,-9.146096,-5.307669,4.628596
10872.91904778914,0.15,378.7986045007287,908.4959092639668,0.2201951,12339.758,328.125,30.28571428571428,59,0.2201951,9,-130.43652,233.15498,-9.207038,-3.6114895,13.559289,-15.100007,6.7165,8.748993,-9.765344,-6.938171,-11.395698,-5.419784,4.9110303
10855.164361308392,-0.3299999999999999,382.060257075284,1570.9957269702577,0.18401846,11219.602,328.125,38.28571428571428,79,0.18401846,15,-120.7278,208.48293,-3.7220497,-0.73098767,13.150838,-13.543413,6.8117948,8.795431,-12.154895,-9.151785,-9.26414,-7.5563912,-1.4835175
10692.731692948775,-0.0999999999999999,944.046876656536,1945.5725104784876,0.15692551,17477.32,398.4375,33.99999999999999,77,0.15692551,62,-118.231766,218.65642,1.2634856,2.3650365,6.2875853,-19.126202,6.687101,8.024016,-8.011288,-3.9175293,-9.721648,-6.458115,1.449056
10840.859059765991,0.06,405.7836012441017,1152.7926790965255,0.1814074,21755.053,375.0,32.285714285714285,74,0.1814074,20,-126.84258,236.69699,-11.5326185,0.5322598,13.151603,-23.268707,2.214321,9.624943,-7.217085,-7.5955753,-16.082582,-4.8938456,10.455146
